岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉数据分析、需求分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,本科,13105,21745
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉缺陷管理、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,硕士,9843,18683
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、培训、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,本科,5000,7834
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Vue、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,5000,9207
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、机器学习、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,硕士,11505,19559
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,大专,5000,7925
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉产品设计、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,12407,20797
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉HTML、CSS、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,硕士,13095,22663
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉活动策划、运营、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,硕士,6080,11228
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉客户沟通、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,大专,7533,12714
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,20136,36034
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Figma、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,9067,14017
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉数据分析、用户增长、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,14906,24842
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉HTML、TypeScript、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,大专,7835,13241
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉统计学、Python、SQL等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,本科,12108,20300
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Sketch、UI设计、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,本科,6857,11379
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉机器学习、特征工程、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,本科,10031,17813
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、用户研究、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,21427,35381
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MongoDB、MySQL、React等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,本科,14921,23753
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉用户体验、UI设计、交互设计等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,硕士,9654,16221
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉招聘、员工关系、培训等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,硕士,8340,13202
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,5000,7000
全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉MySQL、Node.js、React等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,博士,11589,21658
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Excel、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,8039,13479
运营专员,分析运营数据，优化运营策略和流程。要求熟悉活动策划、数据分析、运营等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,博士,23370,42378
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉绩效考核、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,大专,5000,7000
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉深度学习、PyTorch、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,硕士,28646,45806
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能优化、系统架构、微服务等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,硕士,12083,21135
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉需求分析、用户研究、Axure等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,大专,11800,19960
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉TypeScript、Vue、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,硕士,8724,14523
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Vue、HTML、CSS等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,硕士,11475,19528
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉风险控制、团队协调、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,12571,20961
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Node.js、MySQL、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,本科,10547,18291
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉缺陷管理、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,博士,12413,23184
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉进度控制、风险控制、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,29906,48914
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、性能测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,大专,8934,16000
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、技术选型、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,硕士,9581,17568
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉模型调优、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,大专,9067,15825
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Django、MySQL、Python等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,6810,12468
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉渠道拓展、市场营销、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,大专,13743,24341
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Excel、财务报表、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,14271,22367
前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉TypeScript、Vue、CSS等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,博士,25884,43855
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉文档编写、技术支持、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,大专,8031,14687
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉培训、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,博士,9936,17020
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Python、机器学习、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,博士,60893,94589
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Figma、UI设计、交互设计等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,硕士,17509,27519
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Docker、监控、K8s等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,20728,32478
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,16999,27649
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Sketch、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,9346,14297
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉缺陷管理、性能测试、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,博士,13420,25458
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务分析、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,24356,37488
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉文档编写、客户沟通、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,硕士,8847,15328
机器学习工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉特征工程、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,博士,12247,21878
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉TensorFlow、PyTorch、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,本科,15681,25371
财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Excel、财务报表、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,23567,36009
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉员工关系、绩效考核、招聘等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,硕士,8487,13791
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉商务谈判、客户关系、销售等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,8609,15723
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,硕士,15044,23177
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉客户沟通、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,硕士,7102,12760
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉渠道拓展、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,30210,51551
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,硕士,8855,15574
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,5090,8586
运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、运营、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,大专,5586,8965
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉算法、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,大专,5000,8694
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉绩效考核、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,硕士,10265,15699
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Tableau、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,7012,12452
机器学习工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉模型调优、机器学习、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,18404,32977
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、财务报表、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,8466,13253
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉团队协调、风险控制、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,18749,31379
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、Dubbo、Redis等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,11915,20701
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉TensorFlow、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,博士,29868,48876
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉客户沟通、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,博士,12795,21608
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,8624,15101
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉TypeScript、Vue、HTML等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,本科,12042,19402
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉测试、自动化测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,本科,11180,18476
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务报表、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,26724,40952
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉市场营销、渠道拓展、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,大专,25716,47259
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉TensorFlow、Python、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,16432,26920
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉风险控制、进度控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,本科,15393,27067
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉问题排查、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,硕士,9476,17463
财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉财务分析、预算编制、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,大专,9450,14800
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、MySQL、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,硕士,9329,16650
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Redis、SpringBoot、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,博士,12027,20056
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Linux、Docker、K8s等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,6613,12245
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉商务谈判、业绩目标、销售等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,15231,24205
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉活动策划、数据分析、运营等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,本科,7290,12810
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉问题排查、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,大专,8954,15277
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉数据分析、Axure、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,博士,24614,40771
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术支持、客户沟通、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,10022,17926
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉项目管理、进度控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,本科,13776,22752
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉财务分析、财务报表、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,本科,11802,20122
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉PyTorch、TensorFlow、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,本科,21159,32379
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉特征工程、机器学习、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,本科,8243,14227
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉数据分析、产品设计、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,大专,11980,21465
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉需求分析、产品设计、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,28146,49487
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉SQL、Python、统计学等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,硕士,14891,22878
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、MySQL、Django等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,本科,8847,15839
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉SpringBoot、Redis、Java等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,本科,7647,13843
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉SpringBoot、Redis、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,大专,5967,10441
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、交互设计、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,硕士,13363,22973
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉团队协调、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,硕士,19331,30594
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉客户关系、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,本科,12472,22303
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉监控、Docker、运维等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,硕士,17513,28953
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉K8s、监控、Docker等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,10060,17174
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉监控、运维、K8s等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,硕士,6734,12392
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉SpringBoot、Dubbo、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,12780,22082
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉绩效考核、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,大专,6786,10882
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉渠道拓展、品牌建设、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,9620,16800
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉用户增长、活动策划、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,11165,17587
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉商务谈判、业绩目标、销售等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,本科,10827,17739
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、SpringBoot、Redis等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,8937,14713
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Sketch、Figma、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,14041,23133
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉用户增长、运营、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,5000,7000
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉项目管理、进度控制、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,博士,26344,47252
运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、用户增长、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,硕士,7203,11883
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Figma、交互设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,博士,17339,27192
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉进度控制、风险控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,博士,16556,33664
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉风险控制、进度控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,11603,20051
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉产品设计、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,博士,18980,32493
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,博士,20955,36795
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉业绩目标、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,硕士,16360,26477
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Redis、Spring、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,硕士,10888,18376
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉业绩目标、销售、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,硕士,14562,23548
财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉财务报表、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,9474,15250
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Excel、财务报表、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,硕士,12715,19433
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Django、Python、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,大专,8997,14347
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、JavaScript、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,博士,16805,27173
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉项目管理、团队协调、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,博士,21131,39189
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉CSS、JavaScript、HTML等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,大专,5980,10486
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、Dubbo、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,本科,7547,13307
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉特征工程、Python、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,本科,9973,16773
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉文档编写、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,8045,13395
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉风险控制、团队协调、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,大专,11549,21034
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Vue、TypeScript、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,本科,10124,17420
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Excel、财务分析、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,12943,23334
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能优化、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,9266,14898
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务报表、预算编制、Excel等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,硕士,16580,27105
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉FastAPI、MySQL、Redis等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,11216,19312
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务报表、预算编制、Excel等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,硕士,16306,26373
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、数据分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,本科,16850,27448
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉HTML、CSS、Vue等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,博士,11167,24415
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,14610,25259
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Excel、Tableau、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,硕士,18278,29260
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉MySQL、FastAPI、Redis等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,16940,30073
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、财务分析、Excel等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,大专,10150,15065
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉深度学习、机器学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,7642,13965
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉机器学习、TensorFlow、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,46526,73202
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉技术选型、性能优化、微服务等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,博士,16235,27496
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,硕士,18502,29984
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉渠道拓展、活动策划、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,23326,41988
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉招聘、员工关系、培训等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,博士,7795,13555
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉活动策划、渠道拓展、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,博士,33210,54222
